央视频道,#genre#

软件免费,https://vd3.bdstatic.com/mda-mdee523swbezmsin/480p/h264/1618480997/mda-mdee523swbezmsin.mp4
购买盒子,https://vdse.bdstatic.com//5208fb24e1d76b0e81f992e91537f086.mp4
请联系QQ,https://vdse.bdstatic.com//0c8ed110c5522e9bd31752ecb999b1ab.mp4
394778146,https://vdse.bdstatic.com//2ead9cf04f5e9e3a99eea79534c3c104.mp4

CCTV1,http://111.40.196.28/PLTV/88888888/224/3221225513/index.m3u8
CCTV1,http://39.134.3.73:6610/000000001666/100000000100111211/1.m3u8
CCTV2,http://39.134.3.73:6610/000000001666/100000000100111001/1.m3u8

CCTV3,http://111.40.196.28/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://39.135.138.59:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://39.134.3.73:6610/000000001666/100000000100111003/1.m3u8
CCTV5,http://111.40.196.33/PLTV/88888888/224/3221225550/index.m3u8
CCTV5,http://39.134.116.30:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5+,http://111.40.196.35/PLTV/88888888/224/3221225767/index.m3u8
CCTV5+,http://39.134.3.73:6610/000000001666/100000000100111005/1.m3u8

CCTV6,http://111.40.196.31/PLTV/88888888/224/3221225561/index.m3u8#http://39.135.138.59:18890/PLTV/88888910/224/3221225632/index.m3u8

CCTV7,http://39.134.3.73:6610/000000001666/100000000100111007/1.m3u8
CCTV8,http://111.40.196.34/PLTV/88888888/224/3221225565/index.m3u8
CCTV8,http://39.135.138.60:18890/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://111.40.196.35/PLTV/88888888/224/3221225502/index.m3u8
CCTV9,http://39.134.3.73:6610/000000001666/100000000100111009/1.m3u8
CCTV10,http://111.40.196.37/PLTV/88888888/224/3221225567/index.m3u8
CCTV10,http://39.134.3.73:6610/000000001666/100000000100111010/1.m3u8
CCTV11,http://111.40.196.27/PLTV/88888888/224/3221225496/index.m3u8
